sample_id,split,branch,absrel,d1,eval_points,affine_scale,affine_shift,pred_npy,rgb_png
2018-02-04_21-46-15_00100,test,dataset_rgb,0.0847699498,0.940889701,1641,0.000316238187,0.0090077163,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/dataset_rgb/2018-02-04_21-46-15_00100.npy,
2018-02-04_21-46-15_00100,test,raw_rod_like_g045,0.0696163197,0.937233394,1641,0.000313185007,0.0102978942,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_rod_like_g045/2018-02-04_21-46-15_00100.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_rod_like_g045/2018-02-04_21-46-15_00100.png
2018-02-04_21-46-15_00100,test,raw_black01_g065,0.0782031532,0.926873857,1641,0.000326581407,0.011357383,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_black01_g065/2018-02-04_21-46-15_00100.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_black01_g065/2018-02-04_21-46-15_00100.png
2018-02-04_21-46-15_00100,test,raw_black05_g075,0.0963750698,0.904936015,1641,0.00031957428,0.0135503976,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_black05_g075/2018-02-04_21-46-15_00100.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_black05_g075/2018-02-04_21-46-15_00100.png
2018-02-04_21-46-15_00100,test,raw_black10_g085,0.117986512,0.877513711,1641,0.000316670177,0.0160799089,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_black10_g085/2018-02-04_21-46-15_00100.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_black10_g085/2018-02-04_21-46-15_00100.png
2018-02-04_21-46-15_00100,test,raw_black05_g075_unsharp,0.0753395036,0.932967703,1641,0.000286936752,0.0104809562,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_black05_g075_unsharp/2018-02-04_21-46-15_00100.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_black05_g075_unsharp/2018-02-04_21-46-15_00100.png
2018-02-04_21-46-15_00100,test,raw_decomp_black05_g075,0.0966550413,0.903107861,1641,0.000319425928,0.0134640319,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_decomp_black05_g075/2018-02-04_21-46-15_00100.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_decomp_black05_g075/2018-02-04_21-46-15_00100.png
2018-02-04_21-37-51_00200,test,dataset_rgb,0.213546425,0.708131068,1648,0.000401482242,0.00432603347,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/dataset_rgb/2018-02-04_21-37-51_00200.npy,
2018-02-04_21-37-51_00200,test,raw_rod_like_g045,0.185070427,0.692961165,1648,0.000400122902,0.00661430566,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_rod_like_g045/2018-02-04_21-37-51_00200.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_rod_like_g045/2018-02-04_21-37-51_00200.png
2018-02-04_21-37-51_00200,test,raw_black01_g065,0.194701872,0.656553398,1648,0.000434753641,0.00831438325,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_black01_g065/2018-02-04_21-37-51_00200.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_black01_g065/2018-02-04_21-37-51_00200.png
2018-02-04_21-37-51_00200,test,raw_black05_g075,0.200648358,0.659587379,1648,0.000416405233,0.00955914835,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_black05_g075/2018-02-04_21-37-51_00200.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_black05_g075/2018-02-04_21-37-51_00200.png
2018-02-04_21-37-51_00200,test,raw_black10_g085,0.225227402,0.641990291,1648,0.000423744597,0.0134373586,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_black10_g085/2018-02-04_21-37-51_00200.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_black10_g085/2018-02-04_21-37-51_00200.png
2018-02-04_21-37-51_00200,test,raw_black05_g075_unsharp,0.181319539,0.656553398,1648,0.000374357822,0.0072077928,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_black05_g075_unsharp/2018-02-04_21-37-51_00200.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_black05_g075_unsharp/2018-02-04_21-37-51_00200.png
2018-02-04_21-37-51_00200,test,raw_decomp_black05_g075,0.201569687,0.659587379,1648,0.000417065572,0.00965934373,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_decomp_black05_g075/2018-02-04_21-37-51_00200.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_decomp_black05_g075/2018-02-04_21-37-51_00200.png
