selection_group,sample_id,split,rgb_luma_mean,rgb_luma_p99,rgb_luma_p999,rgb_sat_ratio,num_sparse_in_range_points,holdout_eval_points,official_absrel,official_d1,official_affine_scale,official_affine_shift,teacher_absrel,teacher_d1,teacher_affine_scale,teacher_affine_shift,rgb_path,raw_npz_path,sparse_depth_path,official_pred_npy,teacher_rgb_png,teacher_pred_npy
dark,2018-02-04_21-46-15_00100,test,16.894062,72.7821732,135.452206,0.0001953125,8203,1641,0.0847699498,0.940889701,0.000316238187,0.0090077163,0.0696163197,0.937233394,0.000313185007,0.0102978942,/mnt/drive/3333_raw/seeing_through_fog/cam_stereo_left_lut/2018-02-04_21-46-15_00100.png,/mnt/drive/3333_raw/seeing_through_fog/cam_stereo_left_bayer_rect/npz/2018-02-04_21-46-15_00100.npz,/mnt/drive/3333_raw/seeing_through_fog/lidar_hdl64_last_stereo_left/2018-02-04_21-46-15_00100.npz,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_teacher_rgb_dav2_compare/official_rgb_dav2l_pred/2018-02-04_21-46-15_00100.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_teacher_rgb_dav2_compare/teacher_rgb/2018-02-04_21-46-15_00100.png,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_teacher_rgb_dav2_compare/teacher_rgb_dav2l_pred/2018-02-04_21-46-15_00100.npy
dark,2018-02-04_21-37-51_00200,test,16.9467239,53.2207888,117.067981,0,8238,1648,0.213546425,0.708131068,0.000401482242,0.00432603347,0.185070427,0.692961165,0.000400122902,0.00661430566,/mnt/drive/3333_raw/seeing_through_fog/cam_stereo_left_lut/2018-02-04_21-37-51_00200.png,/mnt/drive/3333_raw/seeing_through_fog/cam_stereo_left_bayer_rect/npz/2018-02-04_21-37-51_00200.npz,/mnt/drive/3333_raw/seeing_through_fog/lidar_hdl64_last_stereo_left/2018-02-04_21-37-51_00200.npz,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_teacher_rgb_dav2_compare/official_rgb_dav2l_pred/2018-02-04_21-37-51_00200.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_teacher_rgb_dav2_compare/teacher_rgb/2018-02-04_21-37-51_00200.png,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_teacher_rgb_dav2_compare/teacher_rgb_dav2l_pred/2018-02-04_21-37-51_00200.npy
dark,2018-02-04_21-37-51_00300,test,17.9971352,69.6628059,143.200677,0.000260416667,6620,1324,0.0567007803,0.955438066,0.000315359481,0.000860930448,0.0595554753,0.970543807,0.000313562311,0.000578840829,/mnt/drive/3333_raw/seeing_through_fog/cam_stereo_left_lut/2018-02-04_21-37-51_00300.png,/mnt/drive/3333_raw/seeing_through_fog/cam_stereo_left_bayer_rect/npz/2018-02-04_21-37-51_00300.npz,/mnt/drive/3333_raw/seeing_through_fog/lidar_hdl64_last_stereo_left/2018-02-04_21-37-51_00300.npz,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_teacher_rgb_dav2_compare/official_rgb_dav2l_pred/2018-02-04_21-37-51_00300.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_teacher_rgb_dav2_compare/teacher_rgb/2018-02-04_21-37-51_00300.png,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_teacher_rgb_dav2_compare/teacher_rgb_dav2l_pred/2018-02-04_21-37-51_00300.npy
dark,2018-02-04_21-35-48_00300,test,18.5255566,77.8235898,108.40514,0.0001953125,7692,1538,0.101032498,0.902470741,0.000309004732,0.0135425707,0.080101393,0.922626788,0.000346626191,0.00854773863,/mnt/drive/3333_raw/seeing_through_fog/cam_stereo_left_lut/2018-02-04_21-35-48_00300.png,/mnt/drive/3333_raw/seeing_through_fog/cam_stereo_left_bayer_rect/npz/2018-02-04_21-35-48_00300.npz,/mnt/drive/3333_raw/seeing_through_fog/lidar_hdl64_last_stereo_left/2018-02-04_21-35-48_00300.npz,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_teacher_rgb_dav2_compare/official_rgb_dav2l_pred/2018-02-04_21-35-48_00300.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_teacher_rgb_dav2_compare/teacher_rgb/2018-02-04_21-35-48_00300.png,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_teacher_rgb_dav2_compare/teacher_rgb_dav2l_pred/2018-02-04_21-35-48_00300.npy
dark,2018-02-04_21-32-11_00300,test,19.6681499,100.720478,173.573371,0.00029296875,9089,1818,0.105802267,0.855885589,0.00030416927,0.010850875,0.089976075,0.908690869,0.000283166311,0.0141682916,/mnt/drive/3333_raw/seeing_through_fog/cam_stereo_left_lut/2018-02-04_21-32-11_00300.png,/mnt/drive/3333_raw/seeing_through_fog/cam_stereo_left_bayer_rect/npz/2018-02-04_21-32-11_00300.npz,/mnt/drive/3333_raw/seeing_through_fog/lidar_hdl64_last_stereo_left/2018-02-04_21-32-11_00300.npz,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_teacher_rgb_dav2_compare/official_rgb_dav2l_pred/2018-02-04_21-32-11_00300.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_teacher_rgb_dav2_compare/teacher_rgb/2018-02-04_21-32-11_00300.png,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_teacher_rgb_dav2_compare/teacher_rgb_dav2l_pred/2018-02-04_21-32-11_00300.npy
overexposed,2018-02-10_16-37-09_00100,train,122.366898,253.711197,254.068192,0.119759115,4295,859,0.192396739,0.664726426,0.000383333678,-0.00693970361,0.176809037,0.710128056,0.000364209279,-0.00808956524,/mnt/drive/3333_raw/seeing_through_fog/cam_stereo_left_lut/2018-02-10_16-37-09_00100.png,/mnt/drive/3333_raw/seeing_through_fog/cam_stereo_left_bayer_rect/npz/2018-02-10_16-37-09_00100.npz,/mnt/drive/3333_raw/seeing_through_fog/lidar_hdl64_last_stereo_left/2018-02-10_16-37-09_00100.npz,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_teacher_rgb_dav2_compare/official_rgb_dav2l_pred/2018-02-10_16-37-09_00100.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_teacher_rgb_dav2_compare/teacher_rgb/2018-02-10_16-37-09_00100.png,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_teacher_rgb_dav2_compare/teacher_rgb_dav2l_pred/2018-02-10_16-37-09_00100.npy
overexposed,2018-02-10_16-39-47_00800,test,123.351517,253.566788,253.923798,0.0975260417,4206,841,0.111639718,0.892984542,0.000304281517,0.00781327085,0.111060347,0.906064209,0.000293887588,0.0071399751,/mnt/drive/3333_raw/seeing_through_fog/cam_stereo_left_lut/2018-02-10_16-39-47_00800.png,/mnt/drive/3333_raw/seeing_through_fog/cam_stereo_left_bayer_rect/npz/2018-02-10_16-39-47_00800.npz,/mnt/drive/3333_raw/seeing_through_fog/lidar_hdl64_last_stereo_left/2018-02-10_16-39-47_00800.npz,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_teacher_rgb_dav2_compare/official_rgb_dav2l_pred/2018-02-10_16-39-47_00800.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_teacher_rgb_dav2_compare/teacher_rgb/2018-02-10_16-39-47_00800.png,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_teacher_rgb_dav2_compare/teacher_rgb_dav2l_pred/2018-02-10_16-39-47_00800.npy
overexposed,2018-02-10_16-39-47_00200,test,122.633858,253.136398,253.779388,0.0896809896,4230,846,0.11665277,0.908983452,0.000309695868,0.00351948999,0.118380645,0.899527187,0.000293014299,0.0034189327,/mnt/drive/3333_raw/seeing_through_fog/cam_stereo_left_lut/2018-02-10_16-39-47_00200.png,/mnt/drive/3333_raw/seeing_through_fog/cam_stereo_left_bayer_rect/npz/2018-02-10_16-39-47_00200.npz,/mnt/drive/3333_raw/seeing_through_fog/lidar_hdl64_last_stereo_left/2018-02-10_16-39-47_00200.npz,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_teacher_rgb_dav2_compare/official_rgb_dav2l_pred/2018-02-10_16-39-47_00200.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_teacher_rgb_dav2_compare/teacher_rgb/2018-02-10_16-39-47_00200.png,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_teacher_rgb_dav2_compare/teacher_rgb_dav2l_pred/2018-02-10_16-39-47_00200.npy
overexposed,2018-02-09_15-58-15_00400,train,95.9379349,252.421204,254.019162,0.0818033854,4146,829,0.193383468,0.767189385,0.000269213877,0.0138587951,0.189730308,0.765983112,0.000262214424,0.0143838768,/mnt/drive/3333_raw/seeing_through_fog/cam_stereo_left_lut/2018-02-09_15-58-15_00400.png,/mnt/drive/3333_raw/seeing_through_fog/cam_stereo_left_bayer_rect/npz/2018-02-09_15-58-15_00400.npz,/mnt/drive/3333_raw/seeing_through_fog/lidar_hdl64_last_stereo_left/2018-02-09_15-58-15_00400.npz,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_teacher_rgb_dav2_compare/official_rgb_dav2l_pred/2018-02-09_15-58-15_00400.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_teacher_rgb_dav2_compare/teacher_rgb/2018-02-09_15-58-15_00400.png,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_teacher_rgb_dav2_compare/teacher_rgb_dav2l_pred/2018-02-09_15-58-15_00400.npy
overexposed,2018-02-10_16-39-47_00700,test,118.524254,253.064194,253.779388,0.0804361979,4237,847,0.0758063063,0.925619835,0.000284818584,0.00209620826,0.0745498978,0.924439197,0.000281831083,0.0022381867,/mnt/drive/3333_raw/seeing_through_fog/cam_stereo_left_lut/2018-02-10_16-39-47_00700.png,/mnt/drive/3333_raw/seeing_through_fog/cam_stereo_left_bayer_rect/npz/2018-02-10_16-39-47_00700.npz,/mnt/drive/3333_raw/seeing_through_fog/lidar_hdl64_last_stereo_left/2018-02-10_16-39-47_00700.npz,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_teacher_rgb_dav2_compare/official_rgb_dav2l_pred/2018-02-10_16-39-47_00700.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_teacher_rgb_dav2_compare/teacher_rgb/2018-02-10_16-39-47_00700.png,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_teacher_rgb_dav2_compare/teacher_rgb_dav2l_pred/2018-02-10_16-39-47_00700.npy
