matrix_id,variant,checkpoint_label,eval_input_label,checkpoint_train_dataset_family,checkpoint_train_dataset_input_mode,eval_dataset_family,eval_dataset_input_mode,sample_index,sample_id,normal_id,dark_id,valid_pixels,align_scale,align_shift,abs_rel,sq_rel,rmse,rmse_log,log10,silog,silog_x100,d1,d2,d3,post_ram_enabled,post_ram_scale,post_ram_mean_abs_xram,post_ram_mean_abs_delta,post_ram_delta_ratio,post_ram_xram_p1,post_ram_xram_p50,post_ram_xram_p99,post_ram_xclean_p1,post_ram_xclean_p50,post_ram_xclean_p99
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,0,lod-0021-0022,21,22,484030,62.63922279120578,30.95343003527753,10.001752723201928,877.099880835808,16.05505500024573,0.2933372362592258,0.02950303530407618,0.29300942936265645,29.300942936265645,0.9620023552259157,0.9740264033221081,0.9841662706857013,0.0,0.0,0.8828125,0.0,0.0,-1.453125,-0.330078125,5.375,-1.453125,-0.330078125,5.375
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,1,lod-0023-0024,23,24,491519,65.86201539296164,-5.654241415049838,1.167578227093618,58.35513381723764,24.252326033321975,0.9877357612670002,0.08243932842329706,0.9875783251112749,98.75783251112749,0.8452226668755429,0.9284442717372065,0.9601398928627377,0.0,0.0,0.88671875,0.0,0.0,-1.5390625,-0.640625,3.5,-1.5390625,-0.640625,3.5
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,2,lod-0025-0026,25,26,491520,51.86413557443718,-5.030621825310992,0.4530803816196256,17.01991388782832,34.62861824751407,0.4718627008865173,0.11589937827762394,0.46388497917580984,46.388497917580985,0.7100118001302084,0.79918212890625,0.9051106770833334,0.0,0.0,0.77734375,0.0,0.0,-1.4765625,-0.2216796875,1.875,-1.4765625,-0.2216796875,1.875
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,3,lod-0027-0028,27,28,489989,62.335172537057325,-8.076752498055164,8.949454471880209,279.8365456521425,65.82064469299189,0.5646160286429759,0.12566790163134053,0.5569642508693265,55.696425086932656,0.6645047133711165,0.7923055415529736,0.8702052495056012,0.0,0.0,0.703125,0.0,0.0,-1.453125,-0.30078125,1.703125,-1.453125,-0.30078125,1.703125
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,4,lod-0029-0030,29,30,489782,67.58843106050554,-63.4375383607888,0.6756280760437229,51.62696416906627,59.776530112398824,4.018132314233386,0.5640911409509565,3.960940118126196,396.09401181261956,0.6236550138633106,0.7499356856724012,0.8089844053068508,0.0,0.0,0.671875,0.0,0.0,-1.265625,-0.2734375,1.9296875,-1.265625,-0.2734375,1.9296875
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,5,lod-0031-0032,31,32,491473,71.06211574089666,-32.642829797222,0.2185344625634686,5.58044136748783,17.82708423180627,1.0909031026502116,0.07331058779051607,1.0896727960909942,108.96727960909942,0.8731222264498761,0.9602419664966336,0.9778502583051358,0.0,0.0,0.71875,0.0,0.0,-0.859375,0.30078125,2.9375,-0.859375,0.30078125,2.9375
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,6,lod-0033-0034,33,34,491493,72.5722763897214,-57.843861878190815,0.1983517887881385,4.71225077622929,18.81705198279282,0.2213443825576328,0.052505253002899356,0.22083894247726718,22.083894247726718,0.8261501181095153,0.9463695312039032,0.9792733568941979,0.0,0.0,0.52734375,0.0,0.0,-1.234375,-0.057861328125,1.5859375,-1.234375,-0.057861328125,1.5859375
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,7,lod-0035-0036,35,36,491520,75.74099437040576,-50.799041918563354,0.08625796067068552,2.606349014149789,16.93742653493112,0.1413746647055823,0.03539474778840094,0.14132289451236996,14.132289451236996,0.9307210286458333,0.9791402180989583,0.993194580078125,0.0,0.0,0.6640625,0.0,0.0,-1.25,0.1640625,2.359375,-1.25,0.1640625,2.359375
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,8,lod-0037-0038,37,38,491188,83.31491700225936,-87.48640030062104,7.037509777827379,399.6827016874827,37.716308036927366,1.198767702184929,0.15224458582071712,1.198766489254868,119.87664892548679,0.67406777038527,0.7762058519344935,0.8541515672206976,0.0,0.0,0.373046875,0.0,0.0,-0.8125,-0.03857421875,1.265625,-0.8125,-0.03857421875,1.265625
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,9,lod-0039-0040,39,40,491520,68.27785289046426,-36.55783563957452,0.1031415102886744,3.7412566010617097,19.481198462792985,0.17086479745458746,0.041219923601267826,0.17064485773532018,17.064485773532017,0.88770751953125,0.96158447265625,0.9889180501302083,0.0,0.0,0.5546875,0.0,0.0,-0.95703125,0.10107421875,1.640625,-0.95703125,0.10107421875,1.640625
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,10,lod-0041-0042,41,42,491520,77.45831889895713,-37.52519901735523,0.26108103976368996,17.49280354374389,29.556020422161524,1.6164145114767754,0.14939474295051744,1.6134095148725274,161.34095148725274,0.75205078125,0.8976786295572917,0.93233642578125,0.0,0.0,0.318359375,0.0,0.0,-0.84375,-0.240234375,0.62890625,-0.84375,-0.240234375,0.62890625
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,11,lod-0043-0044,43,44,480254,62.02193309524214,-29.651588000810346,97.57798369183894,11359.487221927218,27.144699392048555,4.0600452945576375,0.5394238505546549,3.9874757607952556,398.7475760795256,0.7939465366243696,0.8588892544361941,0.8819562148363158,0.0,0.0,0.66796875,0.0,0.0,-1.234375,0.0341796875,2.96875,-1.234375,0.0341796875,2.96875
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,12,lod-0045-0046,45,46,489707,66.08018258900539,-28.036464479054356,0.21934968275749997,8.182179264009166,29.051065428576017,2.7963582705499865,0.3037104316035147,2.770941693030826,277.0941693030826,0.7546063258234005,0.854690661967258,0.9051759521509801,0.0,0.0,0.5,0.0,0.0,-1.1640625,-0.16796875,1.15625,-1.1640625,-0.16796875,1.15625
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,13,lod-0047-0048,47,48,491520,66.24214240369498,-18.75789201459457,0.09469836558814361,3.4197315814981892,20.233920733607487,0.18971809583158847,0.036929132373239464,0.18963259569333765,18.963259569333765,0.9274515787760417,0.9703287760416667,0.9809122721354167,0.0,0.0,0.57421875,0.0,0.0,-1.09375,-0.34375,2.296875,-1.09375,-0.34375,2.296875
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,14,lod-0649-0650,649,650,477771,56.34543160996043,84.59607310099437,1.5414956051603215,241.54499378065992,24.978100050712804,0.18915905389119786,0.0369103275800637,0.18895220750069106,18.895220750069104,0.9287399193337393,0.9848002494919114,0.9945434109646671,0.0,0.0,1.234375,0.0,0.0,-1.5078125,-0.44140625,5.96875,-1.5078125,-0.44140625,5.96875
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,15,lod-0651-0652,651,652,491520,-19.84706687702211,350.2100284310957,0.845899595395099,129.6226388574263,125.7121961857453,0.6953455747872025,0.23208779636536436,0.68253634150458,68.253634150458,0.18052571614583332,0.6228129069010416,0.8053304036458333,0.0,0.0,0.58984375,0.0,0.0,-1.4609375,-0.333984375,1.5625,-1.4609375,-0.333984375,1.5625
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,16,lod-0653-0654,653,654,491451,74.23981865203079,-23.604246606921023,3.108777507171725,408.49113607220045,26.007007082467673,0.23731584212676263,0.038586052031137165,0.23710695407732202,23.710695407732203,0.9325344744440442,0.9670323185831344,0.9803215376507526,0.0,0.0,0.98046875,0.0,0.0,-1.4296875,0.498046875,2.578125,-1.4296875,0.498046875,2.578125
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,17,lod-0655-0656,655,656,491519,83.98269479266645,-28.80446483993962,0.20281848754362064,10.620611832749525,32.874711391016135,2.0277977465571286,0.1741536542009385,2.0202144007759357,202.02144007759358,0.8570513042222172,0.9213214545114228,0.94416492546575,0.0,0.0,0.90625,0.0,0.0,-1.3984375,-0.208984375,2.828125,-1.3984375,-0.208984375,2.828125
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,18,lod-0657-0658,657,658,491494,73.2084019827543,30.10148904479442,0.07644352798960946,3.586777165535302,25.348045443151346,0.12471588454721101,0.03137138020686452,0.12467969107976766,12.467969107976765,0.9365994294945614,0.9840303238696708,0.9962156201296455,0.0,0.0,1.1015625,0.0,0.0,-1.4140625,-0.310546875,3.53125,-1.4140625,-0.310546875,3.53125
