method_label,dataset_index,sample_name,image_path,depth_path,panel_path,c2_abs_rel,method_abs_rel,method_minus_c2_abs_rel,method_better_than_c2,selection_reason,has_gate,has_delta_effective
N2_lp0p8_q0p3_aggressive,0,Camera_0_rgb_00618,/mnt/drive/1111_new_works/VKITTI2/rgb/Scene20/morning/frames/rgb/Camera_0/rgb_00618.jpg,/mnt/drive/1111_new_works/VKITTI2/depth/Scene20/morning/frames/depth/Camera_0/depth_00618.png,/home/caq/6666_raw/dav2_raw_0522/plans/0527/diagnostics/0530_improvement_vs_c2_0530_1501/N2_lp0p8_q0p3_aggressive/01_validx0000_Camera_0_rgb_00618_vs_c2.jpg,0.10232466398412889,0.10015847260314599,-0.002166191380982896,True,fixed,True,True
N2_lp0p8_q0p3_aggressive,72,Camera_0_rgb_00623,/mnt/drive/1111_new_works/VKITTI2/rgb/Scene20/morning/frames/rgb/Camera_0/rgb_00623.jpg,/mnt/drive/1111_new_works/VKITTI2/depth/Scene20/morning/frames/depth/Camera_0/depth_00623.png,/home/caq/6666_raw/dav2_raw_0522/plans/0527/diagnostics/0530_improvement_vs_c2_0530_1501/N2_lp0p8_q0p3_aggressive/02_validx0072_Camera_0_rgb_00623_vs_c2.jpg,0.12413807565156983,0.12052255838676068,-0.0036155172648091455,True,fixed,True,True
N2_lp0p8_q0p3_aggressive,886,Camera_0_rgb_00634,/mnt/drive/1111_new_works/VKITTI2/rgb/Scene20/30-deg-left/frames/rgb/Camera_0/rgb_00634.jpg,/mnt/drive/1111_new_works/VKITTI2/depth/Scene20/30-deg-left/frames/depth/Camera_0/depth_00634.png,/home/caq/6666_raw/dav2_raw_0522/plans/0527/diagnostics/0530_improvement_vs_c2_0530_1501/N2_lp0p8_q0p3_aggressive/03_validx0886_Camera_0_rgb_00634_vs_c2.jpg,0.15317032386172746,0.1335857028766652,-0.01958462098506225,True,top_better_rank_1,True,True
N2_lp0p8_q0p3_aggressive,468,Camera_0_rgb_00452,/mnt/drive/1111_new_works/VKITTI2/rgb/Scene20/30-deg-left/frames/rgb/Camera_0/rgb_00452.jpg,/mnt/drive/1111_new_works/VKITTI2/depth/Scene20/30-deg-left/frames/depth/Camera_0/depth_00452.png,/home/caq/6666_raw/dav2_raw_0522/plans/0527/diagnostics/0530_improvement_vs_c2_0530_1501/N2_lp0p8_q0p3_aggressive/04_validx0468_Camera_0_rgb_00452_vs_c2.jpg,0.1928544189079718,0.17980036382660555,-0.013054055081366256,True,top_better_rank_2,True,True
N2_lp0p8_q0p3_aggressive,543,Camera_0_rgb_00634,/mnt/drive/1111_new_works/VKITTI2/rgb/Scene20/15-deg-right/frames/rgb/Camera_0/rgb_00634.jpg,/mnt/drive/1111_new_works/VKITTI2/depth/Scene20/15-deg-right/frames/depth/Camera_0/depth_00634.png,/home/caq/6666_raw/dav2_raw_0522/plans/0527/diagnostics/0530_improvement_vs_c2_0530_1501/N2_lp0p8_q0p3_aggressive/05_validx0543_Camera_0_rgb_00634_vs_c2.jpg,0.13501683113980642,0.12218675084423862,-0.0128300802955678,True,top_better_rank_3,True,True
N2_lp0p8_q0p3_aggressive,503,Camera_0_rgb_00548,/mnt/drive/1111_new_works/VKITTI2/rgb/Scene20/30-deg-left/frames/rgb/Camera_0/rgb_00548.jpg,/mnt/drive/1111_new_works/VKITTI2/depth/Scene20/30-deg-left/frames/depth/Camera_0/depth_00548.png,/home/caq/6666_raw/dav2_raw_0522/plans/0527/diagnostics/0530_improvement_vs_c2_0530_1501/N2_lp0p8_q0p3_aggressive/06_validx0503_Camera_0_rgb_00548_vs_c2.jpg,0.1685208796798112,0.15611371164346194,-0.012407168036349253,True,top_better_rank_4,True,True
N2_lp0p8_q0p3_aggressive,95,Camera_0_rgb_00682,/mnt/drive/1111_new_works/VKITTI2/rgb/Scene20/15-deg-left/frames/rgb/Camera_0/rgb_00682.jpg,/mnt/drive/1111_new_works/VKITTI2/depth/Scene20/15-deg-left/frames/depth/Camera_0/depth_00682.png,/home/caq/6666_raw/dav2_raw_0522/plans/0527/diagnostics/0530_improvement_vs_c2_0530_1501/N2_lp0p8_q0p3_aggressive/07_validx0095_Camera_0_rgb_00682_vs_c2.jpg,0.0838723263132703,0.09568778461940387,0.011815458306133578,False,top_worse_rank_1,True,True
N2_lp0p8_q0p3_aggressive,891,Camera_0_rgb_00672,/mnt/drive/1111_new_works/VKITTI2/rgb/Scene20/sunset/frames/rgb/Camera_0/rgb_00672.jpg,/mnt/drive/1111_new_works/VKITTI2/depth/Scene20/sunset/frames/depth/Camera_0/depth_00672.png,/home/caq/6666_raw/dav2_raw_0522/plans/0527/diagnostics/0530_improvement_vs_c2_0530_1501/N2_lp0p8_q0p3_aggressive/08_validx0891_Camera_0_rgb_00672_vs_c2.jpg,0.1150558216809834,0.12503140775883959,0.009975586077856188,False,top_worse_rank_2,True,True
N2_lp0p8_q0p3_aggressive,967,Camera_0_rgb_00696,/mnt/drive/1111_new_works/VKITTI2/rgb/Scene20/30-deg-left/frames/rgb/Camera_0/rgb_00696.jpg,/mnt/drive/1111_new_works/VKITTI2/depth/Scene20/30-deg-left/frames/depth/Camera_0/depth_00696.png,/home/caq/6666_raw/dav2_raw_0522/plans/0527/diagnostics/0530_improvement_vs_c2_0530_1501/N2_lp0p8_q0p3_aggressive/09_validx0967_Camera_0_rgb_00696_vs_c2.jpg,0.13663588007242822,0.14598958917929936,0.009353709106871139,False,top_worse_rank_3,True,True
N2_lp0p8_q0p3_aggressive,934,Camera_0_rgb_00692,/mnt/drive/1111_new_works/VKITTI2/rgb/Scene20/15-deg-left/frames/rgb/Camera_0/rgb_00692.jpg,/mnt/drive/1111_new_works/VKITTI2/depth/Scene20/15-deg-left/frames/depth/Camera_0/depth_00692.png,/home/caq/6666_raw/dav2_raw_0522/plans/0527/diagnostics/0530_improvement_vs_c2_0530_1501/N2_lp0p8_q0p3_aggressive/10_validx0934_Camera_0_rgb_00692_vs_c2.jpg,0.12709197693732227,0.1361897468739404,0.009097769936618122,False,top_worse_rank_4,True,True
