method_label,dataset_index,sample_name,image_path,depth_path,panel_path,c2_abs_rel,method_abs_rel,method_minus_c2_abs_rel,method_better_than_c2,selection_reason,has_gate,has_delta_effective
N4_0530_0213_vkitti_n4_ffm_mid_lp0p5_q0p3_lfl0p0_rfttrue_vits_half187x621_sceneholdout_Scene20_n1000_seed42_bs8_e10,0,Camera_0_rgb_00618,/mnt/drive/1111_new_works/VKITTI2/rgb/Scene20/morning/frames/rgb/Camera_0/rgb_00618.jpg,/mnt/drive/1111_new_works/VKITTI2/depth/Scene20/morning/frames/depth/Camera_0/depth_00618.png,/home/caq/6666_raw/dav2_raw_0522/plans/0527/diagnostics/0530_improvement_vs_c2_0530_1501/N4_0530_0213_vkitti_n4_ffm_mid_lp0p5_q0p3_lfl0p0_rfttrue_vits_half187x621_sceneholdout_Scene20_n1000_seed42_bs8_e10/01_validx0000_Camera_0_rgb_00618_vs_c2.jpg,0.10232466398412889,0.10074289328963863,-0.0015817706944902532,True,fixed,True,True
N4_0530_0213_vkitti_n4_ffm_mid_lp0p5_q0p3_lfl0p0_rfttrue_vits_half187x621_sceneholdout_Scene20_n1000_seed42_bs8_e10,72,Camera_0_rgb_00623,/mnt/drive/1111_new_works/VKITTI2/rgb/Scene20/morning/frames/rgb/Camera_0/rgb_00623.jpg,/mnt/drive/1111_new_works/VKITTI2/depth/Scene20/morning/frames/depth/Camera_0/depth_00623.png,/home/caq/6666_raw/dav2_raw_0522/plans/0527/diagnostics/0530_improvement_vs_c2_0530_1501/N4_0530_0213_vkitti_n4_ffm_mid_lp0p5_q0p3_lfl0p0_rfttrue_vits_half187x621_sceneholdout_Scene20_n1000_seed42_bs8_e10/02_validx0072_Camera_0_rgb_00623_vs_c2.jpg,0.12413807565156983,0.12167584716428136,-0.0024622284872884703,True,fixed,True,True
N4_0530_0213_vkitti_n4_ffm_mid_lp0p5_q0p3_lfl0p0_rfttrue_vits_half187x621_sceneholdout_Scene20_n1000_seed42_bs8_e10,983,Camera_0_rgb_00364,/mnt/drive/1111_new_works/VKITTI2/rgb/Scene20/30-deg-left/frames/rgb/Camera_0/rgb_00364.jpg,/mnt/drive/1111_new_works/VKITTI2/depth/Scene20/30-deg-left/frames/depth/Camera_0/depth_00364.png,/home/caq/6666_raw/dav2_raw_0522/plans/0527/diagnostics/0530_improvement_vs_c2_0530_1501/N4_0530_0213_vkitti_n4_ffm_mid_lp0p5_q0p3_lfl0p0_rfttrue_vits_half187x621_sceneholdout_Scene20_n1000_seed42_bs8_e10/03_validx0983_Camera_0_rgb_00364_vs_c2.jpg,0.19331777757354054,0.1704332659535937,-0.02288451161994684,True,top_better_rank_1,True,True
N4_0530_0213_vkitti_n4_ffm_mid_lp0p5_q0p3_lfl0p0_rfttrue_vits_half187x621_sceneholdout_Scene20_n1000_seed42_bs8_e10,886,Camera_0_rgb_00634,/mnt/drive/1111_new_works/VKITTI2/rgb/Scene20/30-deg-left/frames/rgb/Camera_0/rgb_00634.jpg,/mnt/drive/1111_new_works/VKITTI2/depth/Scene20/30-deg-left/frames/depth/Camera_0/depth_00634.png,/home/caq/6666_raw/dav2_raw_0522/plans/0527/diagnostics/0530_improvement_vs_c2_0530_1501/N4_0530_0213_vkitti_n4_ffm_mid_lp0p5_q0p3_lfl0p0_rfttrue_vits_half187x621_sceneholdout_Scene20_n1000_seed42_bs8_e10/04_validx0886_Camera_0_rgb_00634_vs_c2.jpg,0.15317032386172746,0.13594801121848787,-0.01722231264323959,True,top_better_rank_2,True,True
N4_0530_0213_vkitti_n4_ffm_mid_lp0p5_q0p3_lfl0p0_rfttrue_vits_half187x621_sceneholdout_Scene20_n1000_seed42_bs8_e10,310,Camera_0_rgb_00320,/mnt/drive/1111_new_works/VKITTI2/rgb/Scene20/fog/frames/rgb/Camera_0/rgb_00320.jpg,/mnt/drive/1111_new_works/VKITTI2/depth/Scene20/fog/frames/depth/Camera_0/depth_00320.png,/home/caq/6666_raw/dav2_raw_0522/plans/0527/diagnostics/0530_improvement_vs_c2_0530_1501/N4_0530_0213_vkitti_n4_ffm_mid_lp0p5_q0p3_lfl0p0_rfttrue_vits_half187x621_sceneholdout_Scene20_n1000_seed42_bs8_e10/05_validx0310_Camera_0_rgb_00320_vs_c2.jpg,0.26651643925354424,0.2507424058644196,-0.015774033389124642,True,top_better_rank_3,True,True
N4_0530_0213_vkitti_n4_ffm_mid_lp0p5_q0p3_lfl0p0_rfttrue_vits_half187x621_sceneholdout_Scene20_n1000_seed42_bs8_e10,681,Camera_0_rgb_00669,/mnt/drive/1111_new_works/VKITTI2/rgb/Scene20/fog/frames/rgb/Camera_0/rgb_00669.jpg,/mnt/drive/1111_new_works/VKITTI2/depth/Scene20/fog/frames/depth/Camera_0/depth_00669.png,/home/caq/6666_raw/dav2_raw_0522/plans/0527/diagnostics/0530_improvement_vs_c2_0530_1501/N4_0530_0213_vkitti_n4_ffm_mid_lp0p5_q0p3_lfl0p0_rfttrue_vits_half187x621_sceneholdout_Scene20_n1000_seed42_bs8_e10/06_validx0681_Camera_0_rgb_00669_vs_c2.jpg,0.12341132677097995,0.10956195699283582,-0.013849369778144133,True,top_better_rank_4,True,True
N4_0530_0213_vkitti_n4_ffm_mid_lp0p5_q0p3_lfl0p0_rfttrue_vits_half187x621_sceneholdout_Scene20_n1000_seed42_bs8_e10,934,Camera_0_rgb_00692,/mnt/drive/1111_new_works/VKITTI2/rgb/Scene20/15-deg-left/frames/rgb/Camera_0/rgb_00692.jpg,/mnt/drive/1111_new_works/VKITTI2/depth/Scene20/15-deg-left/frames/depth/Camera_0/depth_00692.png,/home/caq/6666_raw/dav2_raw_0522/plans/0527/diagnostics/0530_improvement_vs_c2_0530_1501/N4_0530_0213_vkitti_n4_ffm_mid_lp0p5_q0p3_lfl0p0_rfttrue_vits_half187x621_sceneholdout_Scene20_n1000_seed42_bs8_e10/07_validx0934_Camera_0_rgb_00692_vs_c2.jpg,0.12709197693732227,0.13794189240210727,0.010849915464785004,False,top_worse_rank_1,True,True
N4_0530_0213_vkitti_n4_ffm_mid_lp0p5_q0p3_lfl0p0_rfttrue_vits_half187x621_sceneholdout_Scene20_n1000_seed42_bs8_e10,241,Camera_0_rgb_00689,/mnt/drive/1111_new_works/VKITTI2/rgb/Scene20/clone/frames/rgb/Camera_0/rgb_00689.jpg,/mnt/drive/1111_new_works/VKITTI2/depth/Scene20/clone/frames/depth/Camera_0/depth_00689.png,/home/caq/6666_raw/dav2_raw_0522/plans/0527/diagnostics/0530_improvement_vs_c2_0530_1501/N4_0530_0213_vkitti_n4_ffm_mid_lp0p5_q0p3_lfl0p0_rfttrue_vits_half187x621_sceneholdout_Scene20_n1000_seed42_bs8_e10/08_validx0241_Camera_0_rgb_00689_vs_c2.jpg,0.1416001821491981,0.15025337573186748,0.008653193582669388,False,top_worse_rank_2,True,True
N4_0530_0213_vkitti_n4_ffm_mid_lp0p5_q0p3_lfl0p0_rfttrue_vits_half187x621_sceneholdout_Scene20_n1000_seed42_bs8_e10,601,Camera_0_rgb_00340,/mnt/drive/1111_new_works/VKITTI2/rgb/Scene20/sunset/frames/rgb/Camera_0/rgb_00340.jpg,/mnt/drive/1111_new_works/VKITTI2/depth/Scene20/sunset/frames/depth/Camera_0/depth_00340.png,/home/caq/6666_raw/dav2_raw_0522/plans/0527/diagnostics/0530_improvement_vs_c2_0530_1501/N4_0530_0213_vkitti_n4_ffm_mid_lp0p5_q0p3_lfl0p0_rfttrue_vits_half187x621_sceneholdout_Scene20_n1000_seed42_bs8_e10/09_validx0601_Camera_0_rgb_00340_vs_c2.jpg,0.3139249352878907,0.3215240084269591,0.00759907313906838,False,top_worse_rank_3,True,True
N4_0530_0213_vkitti_n4_ffm_mid_lp0p5_q0p3_lfl0p0_rfttrue_vits_half187x621_sceneholdout_Scene20_n1000_seed42_bs8_e10,364,Camera_0_rgb_00743,/mnt/drive/1111_new_works/VKITTI2/rgb/Scene20/30-deg-right/frames/rgb/Camera_0/rgb_00743.jpg,/mnt/drive/1111_new_works/VKITTI2/depth/Scene20/30-deg-right/frames/depth/Camera_0/depth_00743.png,/home/caq/6666_raw/dav2_raw_0522/plans/0527/diagnostics/0530_improvement_vs_c2_0530_1501/N4_0530_0213_vkitti_n4_ffm_mid_lp0p5_q0p3_lfl0p0_rfttrue_vits_half187x621_sceneholdout_Scene20_n1000_seed42_bs8_e10/10_validx0364_Camera_0_rgb_00743_vs_c2.jpg,0.1249987889885829,0.13256137613334004,0.007562587144757146,False,top_worse_rank_4,True,True
